Sp,lon,lat,source,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Acla,-151.7085,59.464233,OBIS,1027186,657.309002106,-151.708333333,59.4583333333,2
Acla,-151.894167,59.373333,OBIS,1029106,1105.36512039,-151.875,59.375,2
Acla,-147.728,60.484,OBIS,1005441,3057.54477493,-147.708333333,60.4583333333,2
Acla,141.14195,45.1943,OBIS,1355806,2050.84506927,141.125,45.2083333333,2
Acla,-152.9016,57.3116,OBIS,1080375,2738.40974097,-152.875,57.2916666667,2
Acla,144.85,43.0,OBIS,1411530,5057.59930618,144.875,43.0416666667,2
Acla,-132.4223022,53.29199982,OBIS,1175054,2402.97377576,-132.458333333,53.2916666667,2
Acla,141.05,45.32,OBIS,1353783,3216.01004899,141.041666667,45.2916666667,2
Acla,141.2,45.25,OBIS,1353785,4676.65935434,141.208333333,45.2916666667,2
Acla,-132.52,54.07,GBIF,1158768,3458.16968637,-132.541666667,54.0416666667,2
Acla,-62.25,67.04,GBIF,907006,1823.94150526,-62.2083333333,67.0416666667,2
Acla,-130.251,54.301,GBIF,1153120,2844.29412504,-130.291666667,54.2916666667,2
Acla,-57.88,49.54,GBIF,1255269,406.594416503,-57.875,49.5416666667,2
Acla,-69.400047,43.921471,GBIF,1386374,4562.85112518,-69.375,43.9583333333,2
Acla,-69.726578,43.779316,GBIF,1390722,2009.94302841,-69.7083333333,43.7916666667,2
Acla,-69.552297,43.842082,GBIF,1388549,3756.02613903,-69.5416666667,43.875,2
Acla,-68.22139,44.52056,GBIF,1371374,2564.7887666,-68.2083333333,44.5416666667,2
Acla,-67.270861,44.653251,GBIF,1369277,3546.91856044,-67.2916666667,44.625,2
Acla,-68.301292,44.453314,GBIF,1373488,947.608857776,-68.2916666667,44.4583333333,2
Acla,-67.123398,44.74068,GBIF,1367187,3596.80829889,-67.125,44.7083333333,2
Acla,-53.123999,47.398484,GBIF,1303752,2612.00685451,-53.125,47.375,2
Acla,-53.258885,48.018648,GBIF,1288766,3539.56058827,-53.2916666667,48.0416666667,2
Acla,-68.566667,63.75,GBIF,951400,4806.13457076,-68.5416666667,63.7083333333,2
Acla,-55.866079,51.602935,GBIF,1209534,2531.52724269,-55.875,51.625,2
Acla,-55.880413,52.008347,GBIF,1200931,3725.97818021,-55.875,52.0416666667,2
Acla,128.9901,37.7347,GBIF,1562345,4050.6699563,128.958333333,37.7083333333,2
Acla,-134.94,58.61,GBIF,1047385,1981.58779447,-134.958333333,58.625,2
Acla,-31.68,68.150002,GBIF,891701,3027.22763818,-31.7083333333,68.125,2
Acla,-53.830002,67.669998,GBIF,898218,4573.88725199,-53.7916666667,67.7083333333,2
Acla,-37.220001,65.620003,GBIF,925439,774.237089797,-37.2083333333,65.625,2
Acla,-26.25,70.449997,GBIF,839753,1813.14627899,-26.2083333333,70.4583333333,2
Acla,-53.669998,66.93,GBIF,908198,3576.74839183,-53.7083333333,66.9583333333,2
Acla,-53.049999,65.82,GBIF,923289,3182.21171451,-53.0416666667,65.7916666667,2
Acla,-50.220001,64.449997,GBIF,940736,1085.89268355,-50.2083333333,64.4583333333,2
Acla,-44.220001,60.169998,GBIF,1011049,4319.92672996,-44.2083333333,60.2083333333,2
Acla,-63.23,46.43,Museum,1324869,3562.5021379,-63.2083333333,46.4583333333,2
Acla,-63.55,44.63,Museum,1369300,863.732900078,-63.5416666667,44.625,2
Acla,-85.15,73.02,Museum,753641,2551.52702955,-85.125,73.0416666667,2
Acla,-86.23,66.51,Museum,913421,3660.38631482,-86.2083333333,66.5416666667,2
Acla,-51.96266659,64.12041664,Shoenrock et al,945468,552.841794711,-51.9583333333,64.125,2
Acla,-50.81838861,64.70540073,Shoenrock et al,937302,1315.69054365,-50.7916666667,64.7083333333,2
Acla,-77.937138,72.703117,PICKeR,765899,913.160624908,-77.9583333333,72.7083333333,2
Acla,-79.852936,72.457296,PICKeR,774639,751.535650493,-79.875,72.4583333333,2
Acla,-78.903754,72.350985,PICKeR,777534,2850.9412563,-78.875,72.375,2
Acla,-86.17373333,66.25005,SIMEP,916715,4894.11009447,-86.2083333333,66.2916666667,2
Acla,-78.400179,72.593863,PICKeR,768862,3574.8429325,-78.375,72.625,2
Acla,33.3793,69.1122,Filbee-Dexter et al,873552,1438.06566294,33.375,69.125,2
Acla,-174.607217,52.14045,OBIS,1198615,2106.68722324,-174.625,52.125,1
Acla,141.45,41.42,OBIS,1455040,4313.98124236,141.458333333,41.4583333333,1
Acla,-152.832317,58.408083,OBIS,1053351,4385.33115476,-152.791666667,58.375,1
Acla,-168.807667,53.05115,OBIS,1179767,1505.08555687,-168.791666667,53.0416666667,1
Acla,-151.47695,59.539133,OBIS,1025266,1090.35296086,-151.458333333,59.5416666667,1
Acla,143.048106,42.067406,OBIS,1438949,2908.24758189,143.041666667,42.0416666667,1
Acla,-178.585717,51.575467,OBIS,1210652,4643.70854224,-178.625,51.5416666667,1
Acla,140.933333,41.933333,OBIS,1441241,3465.31409927,140.958333333,41.9583333333,1
Acla,144.25,44.03,OBIS,1385273,3582.66046204,144.291666667,44.0416666667,1
Acla,-166.4367,53.955783,OBIS,1160224,1448.17521645,-166.458333333,53.9583333333,1
Acla,-93.84700012,58.77000046,OBIS,1043276,2906.45225024,-93.875,58.7916666667,1
Acla,-147.113,60.381167,OBIS,1007114,954.098411694,-147.125,60.375,1
Acla,-167.6473362,53.39164188,OBIS,1172887,2374.7441675,-167.625,53.375,1
Acla,145.81667,43.38333,OBIS,1402770,2227.56146247,145.791666667,43.375,1
Acla,140.98,42.3,OBIS,1431978,2012.30209793,140.958333333,42.2916666667,1
Acla,-147.4075,60.3,OBIS,1008798,2022.94405673,-147.375,60.2916666667,1
Acla,-178.058841,51.715936,OBIS,1207142,1457.60481601,-178.041666667,51.7083333333,1
Acla,-132.8647461,53.58855057,OBIS,1167961,4113.12303941,-132.875,53.625,1
Acla,-154.12925,56.946533,OBIS,1088546,1339.27934528,-154.125,56.9583333333,1
Acla,-152.35925,57.7707,OBIS,1068013,2516.12118282,-152.375,57.7916666667,1
Acla,-146.749,60.965,OBIS,995995,2324.89591259,-146.708333333,60.9583333333,1
Acla,-67.14865,44.87061,OBIS,1363053,1931.47629746,-67.125,44.875,1
Acla,-153.865717,57.551417,OBIS,1074231,1219.88971741,-153.875,57.5416666667,1
Acla,-153.388683,57.156683,OBIS,1084459,3624.23974675,-153.375,57.125,1
Acla,-177.7915,51.78098,OBIS,1205421,1189.0893083,-177.791666667,51.7916666667,1
Acla,140.95,45.47,OBIS,1349736,1451.2187762,140.958333333,45.4583333333,1
Acla,141.416667,41.25,OBIS,1459651,5796.72426919,141.458333333,41.2916666667,1
Acla,145.33,44.33,OBIS,1378816,5243.8441612,145.291666667,44.2916666667,1
Acla,141.93,45.52,OBIS,1347738,3270.68959631,141.958333333,45.5416666667,1
Acla,-62.02658,47.23755,OBIS,1307466,3443.29011802,-62.0416666667,47.2083333333,1
Acla,145.22,44.03,OBIS,1385282,1598.43447499,145.208333333,44.0416666667,1
Acla,141.15,41.42,OBIS,1455036,4742.44646054,141.125,41.4583333333,1
Acla,-61.74985,47.41849,OBIS,1301762,5424.95220575,-61.7083333333,47.4583333333,1
Acla,142.492117,42.265842,OBIS,1431996,3999.33615087,142.458333333,42.2916666667,1
Acla,-146.73833,60.363889,OBIS,1007119,2066.87793527,-146.708333333,60.375,1
Acla,-147.383167,60.6145,OBIS,1002219,1252.48412815,-147.375,60.625,1
Acla,145.12,43.07,OBIS,1411533,3173.90536586,145.125,43.0416666667,1
Acla,145.583333,43.283333,OBIS,1404951,3506.08460776,145.541666667,43.2916666667,1
Acla,144.379,42.96,OBIS,1413752,375.240556754,144.375,42.9583333333,1
Acla,140.68,42.57,OBIS,1425066,3914.13775271,140.708333333,42.5416666667,1
Acla,141.08,41.75,OBIS,1448125,5620.40727542,141.041666667,41.7083333333,1
Acla,140.3,41.48,OBIS,1455027,2505.03293334,140.291666667,41.4583333333,1
Acla,140.42,41.53,OBIS,1452722,3451.38616224,140.458333333,41.5416666667,1
Acla,-70.59200287,43.16600037,OBIS,1408216,5287.05111519,-70.625,43.125,1
Acla,-132.0458984,52.7663002,OBIS,1185360,2837.2402922,-132.041666667,52.7916666667,1
Acla,140.9,41.53,OBIS,1452727,2455.89495679,140.875,41.5416666667,1
Acla,-61.16312,47.79515,OBIS,1294249,2882.19773519,-61.125,47.7916666667,1
Acla,141.4,44.42,OBIS,1374492,4701.67781116,141.375,44.4583333333,1
Acla,142.1,42.45,OBIS,1427375,2255.21231505,142.125,42.4583333333,1
Acla,141.996886,39.403843,OBIS,1513246,4613.59981491,141.958333333,39.375,1
Acla,-131.9992065,53.24610138,OBIS,1176781,5011.81410213,-131.958333333,53.2083333333,1
Acla,145.09849,43.855656,OBIS,1389628,3026.70897656,145.125,43.875,1
Acla,-133.0088959,54.21670151,OBIS,1155001,2332.09844771,-133.041666667,54.2083333333,1
Acla,-65.80601556,44.97985204,OBIS,1361017,2645.78010492,-65.7916666667,44.9583333333,1
Acla,-69.41359711,48.31829834,OBIS,1283130,4119.23114051,-69.375,48.2916666667,1
Acla,-131.3946075,52.57419968,OBIS,1190536,3856.71607851,-131.375,52.5416666667,1
Acla,-69.04599762,44.09000015,OBIS,1382055,3904.41238541,-69.0416666667,44.125,1
Acla,145.97,44.15,OBIS,1383130,2930.55317966,145.958333333,44.125,1
Acla,-123.0051944,48.53722222,OBIS,1277599,2738.23109349,-123.041666667,48.5416666667,1
Acla,143.288052,42.028797,OBIS,1438951,1460.48459289,143.291666667,42.0416666667,1
Acla,142.72,42.17,OBIS,1434311,4365.6503347,142.708333333,42.2083333333,1
Acla,144.87,43.98,OBIS,1387452,2440.62655979,144.875,43.9583333333,1
Acla,-66.89099884,45.0379982,OBIS,1358965,1324.86937068,-66.875,45.0416666667,1
Acla,140.52,41.68,OBIS,1448119,3627.1552601,140.541666667,41.7083333333,1
Acla,-70.53892,41.926771,GBIF,1440064,3513.08814048,-70.5416666667,41.9583333333,1
Acla,-70.628656,42.691761,GBIF,1419353,1865.18178681,-70.625,42.7083333333,1
Acla,-67.479713,44.612856,GBIF,1369275,2168.05259067,-67.4583333333,44.625,1
Acla,-70.759924,42.9716,GBIF,1412619,2979.79890036,-70.7916666667,42.9583333333,1
Acla,-70.299466,41.70011,GBIF,1446972,1120.54199578,-70.2916666667,41.7083333333,1
Acla,-166.2,64.5,GBIF,939274,4662.42656233,-166.208333333,64.5416666667,1
Acla,-66.39,45.1,GBIF,1356940,3018.69772024,-66.375,45.125,1
Acla,-64.06,67.52,GBIF,900407,2539.91961507,-64.0416666667,67.5416666667,1
Acla,-64.04,44.57,GBIF,1371403,3151.27134855,-64.0416666667,44.5416666667,1
Acla,-63.56,50.2,GBIF,1239972,1603.83979502,-63.5416666667,50.2083333333,1
Acla,-94.22,58.81,GBIF,1043272,2150.6592141,-94.2083333333,58.7916666667,1
Acla,-62.55,46.47,GBIF,1324877,1446.24116971,-62.5416666667,46.4583333333,1
Acla,-54.89,47.63,GBIF,1298037,1257.02245332,-54.875,47.625,1
Acla,-58.41,49.11,GBIF,1264664,3051.35433615,-58.375,49.125,1
Acla,-59.17,55.08,GBIF,1135598,4920.42907444,-59.2083333333,55.0416666667,1
Acla,-130.329,54.221,GBIF,1155034,2814.2065527,-130.291666667,54.2083333333,1
Acla,-64.34,60.23,GBIF,1010809,3096.9862639,-64.375,60.2083333333,1
Acla,-70.761157,42.566762,GBIF,1423897,3748.29822709,-70.7916666667,42.5416666667,1
Acla,-70.9017,42.4204,GBIF,1426185,4751.98627423,-70.875,42.4583333333,1
Acla,-52.833333,47.333333,GBIF,1303753,5600.82694987,-52.7916666667,47.375,1
Acla,-146.212778,60.740556,GBIF,1000668,3598.57962006,-146.208333333,60.7083333333,1
Acla,-54.171535,47.000656,GBIF,1311402,5349.12103817,-54.2083333333,47.0416666667,1
Acla,-70.676174,41.525533,GBIF,1451576,3227.00378891,-70.7083333333,41.5416666667,1
Acla,-68.137835,44.354077,GBIF,1375619,2540.11299039,-68.125,44.375,1
Acla,-55.802896,46.867478,GBIF,1315236,1196.73081036,-55.7916666667,46.875,1
Acla,-130.895131,54.545221,GBIF,1147322,1361.6035016,-130.875,54.5416666667,1
Acla,-70.641148,42.091769,GBIF,1435422,3925.35240006,-70.625,42.125,1
Acla,-70.16095,42.076465,GBIF,1437747,4877.98844819,-70.125,42.0416666667,1
Acla,-70.38544,43.490115,GBIF,1399470,3630.63933281,-70.375,43.4583333333,1
Acla,-70.192893,43.651848,GBIF,1395094,3232.69007319,-70.2083333333,43.625,1
Acla,-69.851455,43.719044,GBIF,1392903,2239.80260634,-69.875,43.7083333333,1
Acla,-69.208664,43.965197,GBIF,1386376,763.093880715,-69.2083333333,43.9583333333,1
Acla,-68.508832,44.103412,GBIF,1382061,3558.49573281,-68.5416666667,44.125,1
Acla,-68.930591,44.232254,GBIF,1379905,3461.11600216,-68.9583333333,44.2083333333,1
Acla,-67.905025,44.448734,GBIF,1373493,2617.02671981,-67.875,44.4583333333,1
Acla,-68.81944,44.38139,GBIF,1375613,2324.49848551,-68.7916666667,44.375,1
Acla,-69.32211,43.757468,GBIF,1390727,4521.6454974,-69.2916666667,43.7916666667,1
Acla,-68.337712,44.222066,GBIF,1379912,3347.87033956,-68.375,44.2083333333,1
Acla,-53.16556,47.738344,GBIF,1296154,4515.89965699,-53.125,47.7083333333,1
Acla,-53.184302,47.537058,GBIF,1299952,1880.41128764,-53.2083333333,47.5416666667,1
Acla,-52.47,47.17,GBIF,1307568,4352.44582284,-52.4583333333,47.2083333333,1
Acla,-61.099313,46.429074,GBIF,1324894,3804.54538176,-61.125,46.4583333333,1
Acla,-134.685263,58.30574,GBIF,1055628,2070.58225249,-134.708333333,58.2916666667,1
Acla,-53.517041,69.158337,GBIF,872983,3845.46492978,-53.5416666667,69.125,1
Acla,-64.161041,48.49536,GBIF,1279459,4904.40235887,-64.125,48.4583333333,1
Acla,-64.348812,49.807973,GBIF,1249514,2616.09882413,-64.375,49.7916666667,1
Acla,-66.084823,44.48561,GBIF,1373514,4405.28811737,-66.125,44.4583333333,1
Acla,-68.157584,58.534234,GBIF,1049629,2070.52668546,-68.125,58.5416666667,1
Acla,-52.881332,68.708462,GBIF,881171,257.098379434,-52.875,68.7083333333,1
Acla,-63.588395,44.454035,GBIF,1373527,2952.25279663,-63.625,44.4583333333,1
Acla,-163.379294,54.834224,GBIF,1139121,4547.58898186,-163.375,54.875,1
Acla,-64.4799,48.831977,GBIF,1272059,4754.38426206,-64.4583333333,48.7916666667,1
Acla,-172.758194,60.20521,GBIF,1010368,1888.44652044,-172.791666667,60.2083333333,1
Acla,-133.506868,55.824013,GBIF,1117235,4210.80436134,-133.541666667,55.7916666667,1
Acla,-62.624988,58.200839,GBIF,1057911,834.728506643,-62.625,58.2083333333,1
Acla,163.422119,59.035363,GBIF,1038551,2194.48489623,163.458333333,59.0416666667,1
Acla,-170.399313,57.05517,GBIF,1086329,2106.83066195,-170.375,57.0416666667,1
Acla,143.110829,49.21674,GBIF,1263460,1392.89677699,143.125,49.2083333333,1
Acla,-162.61,55.29,GBIF,1129071,970.851998023,-162.625,55.2916666667,1
Acla,-162.6,54.4,GBIF,1150805,3222.08120935,-162.625,54.375,1
Acla,-165.0,54.12,GBIF,1156506,2780.56107152,-164.958333333,54.125,1
Acla,-173.5,52.1,GBIF,1198629,3985.68561644,-173.458333333,52.125,1
Acla,-65.922734,44.600165,GBIF,1369293,3949.83124167,-65.9583333333,44.625,1
Acla,-71.99111,41.32777,GBIF,1458485,4859.0790854,-71.9583333333,41.2916666667,1
Acla,-37.630001,65.599998,GBIF,925434,2797.2803775,-37.625,65.625,1
Acla,-52.919998,65.419998,GBIF,927583,4629.69430547,-52.9583333333,65.4583333333,1
Acla,-50.380001,62.720001,GBIF,967073,1325.38096954,-50.375,62.7083333333,1
Acla,-36.950001,65.830002,GBIF,923321,4291.52600838,-36.9583333333,65.7916666667,1
Acla,-48.450001,61.18,GBIF,991832,3188.88795283,-48.4583333333,61.2083333333,1
Acla,-53.549999,64.25,GBIF,943039,4662.57863064,-53.5416666667,64.2916666667,1
Acla,-51.720001,64.18,GBIF,944256,3209.08898302,-51.7083333333,64.2083333333,1
Acla,-46.049999,60.720001,GBIF,1001159,1377.3465086,-46.0416666667,60.7083333333,1
Acla,-45.25,60.130001,GBIF,1012790,2382.12754745,-45.2083333333,60.125,1
Acla,-49.669998,62.0,GBIF,977715,5058.87476134,-49.7083333333,62.0416666667,1
Acla,-53.549999,65.25,GBIF,929791,4661.96049956,-53.5416666667,65.2916666667,1
Acla,-48.150002,61.029999,GBIF,994915,1875.16864342,-48.125,61.0416666667,1
Acla,-52.080002,64.029999,GBIF,946682,2280.6707652,-52.0416666667,64.0416666667,1
Acla,-51.080002,64.230003,GBIF,944264,3049.51987874,-51.0416666667,64.2083333333,1
Acla,-44.43,59.93,GBIF,1016441,3531.63657947,-44.4583333333,59.9583333333,1
Acla,-43.57,59.900002,GBIF,1018319,3205.53633245,-43.5416666667,59.875,1
Acla,-69.83,62.82,Museum,965563,3714.3375797,-69.7916666667,62.7916666667,1
Acla,-72.0,61.65,Museum,984311,3555.57527359,-71.9583333333,61.625,1
Acla,-77.91,62.43,Museum,970748,3638.37798109,-77.875,62.4583333333,1
Acla,-68.87,48.4,Museum,1281289,2804.50382513,-68.875,48.375,1
Acla,-125.13,48.84,Museum,1270158,3909.49886599,-125.125,48.875,1
Acla,-64.88,46.81,Museum,1317058,2073.49461429,-64.875,46.7916666667,1
Acla,145.6,43.37,Museum,1402768,2100.93577978,145.625,43.375,1
Acla,-83.27,64.12,Museum,945195,1193.67638036,-83.2916666667,64.125,1
Acla,-94.03,61.12,Museum,992885,840.14223385,-94.0416666667,61.125,1
Acla,-90.72,63.33,Museum,957580,4312.73052502,-90.7083333333,63.2916666667,1
Acla,-91.55,70.15,Museum,848807,2806.95195857,-91.5416666667,70.125,1
Acla,-92.75,69.71,Museum,859672,1623.93635498,-92.7083333333,69.7083333333,1
Acla,-93.8,72.73,Museum,765803,2433.62743724,-93.7916666667,72.7083333333,1
Acla,-94.41,72.01,Museum,788895,3733.69986323,-94.375,72.0416666667,1
Acla,-89.98,74.55,Museum,692980,1131.70726203,-89.9583333333,74.5416666667,1
Acla,-136.08,58.28,Museum,1055614,2597.13639371,-136.041666667,58.2916666667,1
Acla,-50.493024,64.64150473,Shoenrock et al,938443,2477.49138459,-50.4583333333,64.625,1
Acla,-50.49386454,64.15076156,Shoenrock et al,945486,3352.72020821,-50.4583333333,64.125,1
Acla,15.5575,75.99611,Ronowicz et al 2020,640548,4238.6312519,15.5416666667,75.9583333333,1
Acla,-63.523,59.2985,Arctic Amazing Race,1031455,1308.00999063,-63.5416666667,59.2916666667,1
Acla,-63.73,59.4288,Arctic Amazing Race,1027588,3512.23133573,-63.7083333333,59.4583333333,1
Acla,-77.43517,72.76847,PICKeR,762896,2699.50170191,-77.4583333333,72.7916666667,1
Acla,-67.99166667,66.266,Pangnirtung NFA,916863,3229.95853826,-67.9583333333,66.2916666667,1
Acla,-82.92186667,64.87203333,SIMEP,934865,1759.82632943,-82.9583333333,64.875,1
Acla,-80.17605,63.78193333,SIMEP,950057,1926.33852673,-80.2083333333,63.7916666667,1
Acla,-80.84041667,63.51851667,SIMEP,953823,3101.53905751,-80.875,63.5416666667,1
Acla,-81.9684,62.9438,SIMEP,962819,1698.57297043,-81.9583333333,62.9583333333,1
Acla,-82.35773333,63.64275,SIMEP,952543,2155.81837764,-82.375,63.625,1
Acla,-87.31999217,63.69168333,SIMEP,951253,2325.34108427,-87.2916666667,63.7083333333,1
Acla,-86.40566667,64.32926667,SIMEP,942790,4446.63358105,-86.375,64.2916666667,1
Acla,-78.39088,70.19653,CAISN DFO,846640,1447.29804072,-78.375,70.2083333333,1
Acla,-76.634844,72.662252,PICKeR,768868,4169.99580391,-76.625,72.625,1
Acla,-55.7333,52.3667,Filbee-Dexter et al,1194073,1935.08294584,-55.7083333333,52.375,1
Acla,-55.6333,53.2167,Filbee-Dexter et al,1176862,1083.72944665,-55.625,53.2083333333,1
Acla,-69.6745,60.0568,Filbee-Dexter et al,1014301,2529.10087941,-69.7083333333,60.0416666667,1
Acla,-51.6,70.6667,Filbee-Dexter et al,832244,4735.89898051,-51.625,70.7083333333,1
Acla,-178.4067,51.5521,Filbee-Dexter et al,1210655,2486.57966501,-178.375,51.5416666667,1
Acla,-177.0966,51.6102,Filbee-Dexter et al,1208904,2565.2805097,-177.125,51.625,1
Acla,-175.1848,51.8619,Filbee-Dexter et al,1203744,2179.90982971,-175.208333333,51.875,1
Acla,-170.8579,52.3509,Filbee-Dexter et al,1193509,2923.78043546,-170.875,52.375,1
Acla,-169.3972,52.779,Filbee-Dexter et al,1184912,2056.79132702,-169.375,52.7916666667,1
Acla,-167.9203,53.2908,Filbee-Dexter et al,1174628,2538.07064004,-167.958333333,53.2916666667,1
Acla,-66.7388,44.7633,Saunders,1365117,3968.91965659,-66.7083333333,44.7916666667,1
Acla,-66.8732,44.6156,Saunders,1369282,1054.29259761,-66.875,44.625,1
Acla,-59.9604,45.8962,Saunders,1338838,2361.81494748,-59.9583333333,45.875,1
Acla,-53.6481,48.6875,Saunders,1273995,2873.83125933,-53.625,48.7083333333,1
Acla,-64.7572,45.1731,Saunders,1354935,4761.17473356,-64.7916666667,45.2083333333,1
Acla,158.49638,52.61414,Saunders,1189695,2846.05933021,158.458333333,52.625,1
Acla,159.53801,53.22406,Saunders,1177676,1767.18961473,159.541666667,53.2083333333,1
