Sps,lon,lat,Lon_dd,Lat_dd,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Mqua,18.81983,59.57717, , ,1026513,4263.74771667,18.7916666667,59.5416666667,2
Mqua,20.315131,63.661525, , ,953448,4234.28813994,20.2916666667,63.625,2
Mqua,-139.170167,69.625667, , ,861403,1485.43721803,-139.208333333,69.625,2
Mqua,-132.847328,69.444886, , ,865377,1851.02840966,-132.875,69.4583333333,2
Mqua,-133.3519,69.786, , ,857322,1092.50610729,-133.375,69.7916666667,2
Mqua,-137.116667,69.543333, , ,863388,374.556836368,-137.125,69.5416666667,2
Mqua,-133.4784,69.644, , ,861472,2258.44263247,-133.458333333,69.625,2
Mqua,-136.15,69.568333, , ,863400,3130.50021734,-136.125,69.5416666667,2
Mqua,-79.0,53.833333, , ,1162531,5387.52752804,-78.9583333333,53.875,2
Mqua,-104.983333,69.05, , ,874277,1363.98065986,-104.958333333,69.0416666667,2
Mqua,-80.233333,51.433333, , ,1213041,3279.83385708,-80.2083333333,51.4583333333,2
Mqua,-78.433333,52.25, , ,1195793,4940.46902277,-78.4583333333,52.2916666667,2
Mqua,-106.583333,69.333333, , ,867338,4929.02276535,-106.541666667,69.375,2
Mqua,-136.8,69.565, , ,863392,2623.19441321,-136.791666667,69.5416666667,2
Mqua,-133.836,69.816, , ,857316,3103.05321228,-133.875,69.7916666667,2
Mqua,-102.0,68.333333, , ,886888,4954.19986361,-101.958333333,68.375,2
Mqua,-78.833333,52.991667, , ,1181991,4647.05681448,-78.7916666667,52.9583333333,2
Mqua,-81.183333,68.75, , ,879324,4756.3723967,-81.2083333333,68.7916666667,2
Mqua,-78.966667,52.941667, , ,1181989,1937.45789773,-78.9583333333,52.9583333333,2
Mqua,-133.158333,69.513333, , ,863435,3418.31459361,-133.125,69.5416666667,2
Mqua,-128.8,69.833333, , ,857372,4659.35734872,-128.791666667,69.7916666667,2
Mqua,-132.72,69.673333, , ,859442,3930.65726814,-132.708333333,69.7083333333,2
Mqua,-137.561667,69.453333, , ,865325,961.882472791,-137.541666667,69.4583333333,2
Mqua,-79.133333,53.9, , ,1162529,2836.00449561,-79.125,53.875,2
Mqua,-138.996667,69.526667, , ,863366,2244.84287336,-138.958333333,69.5416666667,2
Mqua,-134.593333,69.876667, , ,855151,1230.57826303,-134.625,69.875,2
Mqua,-133.0,69.608333, , ,861478,2466.25891227,-132.958333333,69.625,2
Mqua,-134.166667,69.633333, , ,861463,1867.19023223,-134.208333333,69.625,2
Mqua,-90.65,63.65, , ,952461,3049.85615309,-90.625,63.625,2
Mqua,-133.033333,69.468333, , ,865375,1162.28708451,-133.041666667,69.4583333333,2
Mqua,-134.403333,69.78, , ,857310,1699.61508799,-134.375,69.7916666667,2
Mqua,-93.633333,68.8, , ,879260,988.584317966,-93.625,68.7916666667,2
Mqua,-130.916667,69.45, , ,865380,1878.74676727,-130.958333333,69.4583333333,2
Mqua,-134.605,69.968333, , ,852973,1352.71986652,-134.625,69.9583333333,2
Mqua,-135.94,69.616667, , ,861442,1171.42513089,-135.958333333,69.625,2
Mqua,-132.516667,69.85, , ,855176,2949.90861408,-132.541666667,69.875,2
Mqua,-133.3,69.383333, , ,867242,985.639688752,-133.291666667,69.375,2
Mqua,-134.5,69.483333, , ,865361,3230.95157151,-134.541666667,69.4583333333,2
Mqua,-78.966667,51.533333, , ,1211281,1092.71298721,-78.9583333333,51.5416666667,2
Mqua,-133.883333,69.516667, , ,863426,2807.77981241,-133.875,69.5416666667,2
Mqua,-80.783333,51.85, , ,1204315,2840.24338277,-80.7916666667,51.875,2
Mqua,-134.116667,69.533333, , ,863423,984.924568796,-134.125,69.5416666667,2
Mqua,-130.466667,70.133333, , ,848572,981.982791374,-130.458333333,70.125,2
Mqua,-78.336,56.0, , ,1111191,5238.07082595,-78.375,56.0416666667,2
Mqua,-132.2,69.7, , ,859448,984.076347068,-132.208333333,69.7083333333,2
Mqua,-133.583333,69.55, , ,863430,1872.70179692,-133.541666667,69.5416666667,2
Mqua,-64.833333,60.416667, , ,1005732,5178.39391828,-64.7916666667,60.4583333333,2
Mqua,-130.363333,69.796667, , ,857355,716.659678229,-130.375,69.7916666667,2
Mqua,-131.206667,69.853333, , ,855190,2418.02540902,-131.208333333,69.875,2
Mqua,-79.1,51.716667, , ,1207768,1960.98687953,-79.125,51.7083333333,2
Mqua,-131.683333,69.85, , ,855186,2949.91696167,-131.708333333,69.875,2
Mqua,-132.499444,69.741667, , ,859445,4044.52880014,-132.458333333,69.7083333333,2
Mqua,-130.966667,70.033333, , ,850807,982.495364341,-130.958333333,70.0416666667,2
Mqua,-140.155556,69.608333, , ,861392,2206.57614949,-140.125,69.625,2
Mqua,-79.033333,51.916667, , ,1202633,4671.34605487,-79.0416666667,51.9583333333,2
Mqua,-135.583333,69.725, , ,859408,2461.24737708,-135.541666667,69.7083333333,2
Mqua,-79.333333,51.95, , ,1202630,3010.81360116,-79.2916666667,51.9583333333,2
Mqua,-128.933333,69.716667, , ,859472,1342.0096912,-128.958333333,69.7083333333,2
Mqua,-133.408333,69.891667, , ,855166,2257.35534234,-133.375,69.875,2
Mqua,-135.501667,69.653333, , ,861447,3522.03886582,-135.541666667,69.625,2
Mqua,-133.683333,69.698333, , ,859430,1477.18774255,-133.708333333,69.7083333333,2
Mqua,-135.233333,69.666667, , ,859412,4748.12877062,-135.208333333,69.7083333333,2
Mqua,-133.45,69.51, , ,863431,3547.56460017,-133.458333333,69.5416666667,2
Mqua,-135.533333,69.553889, , ,863407,1401.70398197,-135.541666667,69.5416666667,2
Mqua,-133.875,69.616667, , ,861467,929.606097144,-133.875,69.625,2
Mqua,-133.186667,69.63, , ,861475,1010.08775564,-133.208333333,69.625,2
Mqua,-137.055,69.648333, , ,861429,2654.01163711,-137.041666667,69.625,2
Mqua,-80.45,51.333333, , ,1216631,4671.8301852,-80.4583333333,51.2916666667,2
Mqua,-136.623333,69.661667, , ,861434,4090.99056175,-136.625,69.625,2
Mqua,-136.716667,68.916667, , ,875832,4659.82124608,-136.708333333,68.9583333333,2
Mqua,-139.583889,69.56, , ,863358,2598.93200912,-139.625,69.5416666667,2
Mqua,-132.216667,69.7625, , ,857336,3269.66733441,-132.208333333,69.7916666667,2
Mqua,-137.3,68.966667, , ,875825,987.785430691,-137.291666667,68.9583333333,2
Mqua,-137.133333,68.933333, , ,875827,2808.70412755,-137.125,68.9583333333,2
Mqua,-65.721667,62.571667, , ,969527,3413.29607454,-65.7083333333,62.5416666667,2
Mqua,-134.333333,69.95, , ,852977,1845.80861658,-134.291666667,69.9583333333,2
Mqua,-133.75,69.75, , ,857318,4918.75339274,-133.708333333,69.7916666667,2
Mqua,-124.916667,69.716667, , ,859495,1861.73655391,-124.958333333,69.7083333333,2
Mqua,-124.433333,69.45, , ,865401,1350.48854481,-124.458333333,69.4583333333,2
Mqua,-132.866667,69.733333, , ,859440,2807.50459201,-132.875,69.7083333333,2
Mqua,-129.445,69.995, , ,853034,4122.23231957,-129.458333333,69.9583333333,2
Mqua,-78.916667,51.366667, , ,1214845,3046.01662708,-78.9583333333,51.375,2
Mqua,-79.583333,52.25, , ,1195780,5439.26372369,-79.5416666667,52.2916666667,2
Mqua,-130.233333,69.695, , ,859465,1774.84097397,-130.208333333,69.7083333333,2
Mqua,-136.833333,69.383333, , ,867203,1883.6762801,-136.791666667,69.375,2
Mqua,-130.583333,69.673333, , ,859461,4225.24890249,-130.541666667,69.7083333333,2
Mqua,-79.533333,51.566667, , ,1211277,2840.93013212,-79.5416666667,51.5416666667,2
Mqua,-139.083333,69.583333, , ,861405,4922.86167618,-139.041666667,69.625,2
Mqua,-124.4,70.116667, , ,848639,1328.57876988,-124.375,70.125,2
Mqua,-135.25,69.75, , ,857299,4918.75339275,-135.291666667,69.7916666667,2
Mqua,-130.366667,69.728333, , ,859463,2254.31901001,-130.375,69.7083333333,2
Mqua,-135.508333,69.41, , ,867218,4118.26449466,-135.541666667,69.375,2
Mqua,-134.366667,70.05, , ,850766,982.41170405,-134.375,70.0416666667,2
Mqua,-135.096667,69.566667, , ,863412,2999.88035146,-135.125,69.5416666667,2
Mqua,-130.066667,70.066667, , ,850817,2947.16593365,-130.041666667,70.0416666667,2
Mqua,-76.583333,57.116667, , ,1084875,2689.13147073,-76.5416666667,57.125,2
Mqua,-135.946667,69.545, , ,863402,587.801055825,-135.958333333,69.5416666667,2
Mqua,-118.016667,72.883333, , ,759582,1241.00717484,-118.041666667,72.875,2
Mqua,-107.833333,66.666667, , ,911222,4997.86191969,-107.791666667,66.7083333333,2
Mqua,-78.95,51.816667, , ,1206040,2840.3979913,-78.9583333333,51.7916666667,2
Mqua,-79.2,51.65, , ,1209518,2840.71319476,-79.2083333333,51.625,2
Mqua,-125.675,69.426667, , ,865393,3766.50900758,-125.708333333,69.4583333333,2
Mqua,-128.316667,70.516667, , ,836697,2940.27503862,-128.291666667,70.5416666667,2
Mqua,-128.908333,69.966667, , ,853041,1578.10111307,-128.875,69.9583333333,2
Mqua,-82.3,52.95, , ,1181960,1083.37812214,-82.2916666667,52.9583333333,2
Mqua,-134.183333,70.9, , ,826656,2935.24612631,-134.208333333,70.875,2
Mqua,-130.0,69.75, , ,857359,4918.75339275,-130.041666667,69.7916666667,2
Mqua,-106.333333,69.166667, , ,870855,4933.08983449,-106.291666667,69.2083333333,2
Mqua,-139.916667,69.6, , ,861394,3225.59306422,-139.958333333,69.625,2
Mqua,-79.185556,53.8125, , ,1164373,2762.04272655,-79.2083333333,53.7916666667,2
Mqua,-139.727222,69.593611, , ,861397,3577.92543478,-139.708333333,69.625,2
Mqua,-79.493056,54.408333, , ,1151232,4342.1556841,-79.4583333333,54.375,2
Mqua,-103.333333,68.783333, , ,879176,1922.80213898,-103.291666667,68.7916666667,2
Mqua,-107.616667,68.05, , ,892665,992.413662582,-107.625,68.0416666667,2
Mqua,-129.705,69.945, , ,853031,1492.94695924,-129.708333333,69.9583333333,2
Mqua,-78.766667,52.433333, , ,1192342,3260.14284037,-78.7916666667,52.4583333333,2
Mqua,-110.0,68.416667, , ,885326,4952.00072267,-109.958333333,68.4583333333,2
Mqua,-124.5,70.0, , ,850871,4912.68280502,-124.458333333,70.0416666667,2
Mqua,-77.933333,63.1, , ,960287,3059.02019356,-77.9583333333,63.125,2
Mqua,-133.583333,69.383333, , ,867239,1883.6762801,-133.541666667,69.375,2
Mqua,-132.0,72.0, , ,788700,4866.16409056,-132.041666667,72.0416666667,2
Mqua,-81.0,73.5, , ,734670,4833.7987817,-80.9583333333,73.5416666667,2
Mqua,-79.5,52.0, , ,1200918,5447.4767694,-79.4583333333,52.0416666667,2
Mqua,-108.016667,66.833333, , ,909033,4774.43093218,-108.041666667,66.875,2
Mqua,-91.4,63.721667, , ,951218,1932.94143158,-91.375,63.7083333333,2
Mqua,-78.75,52.583333, , ,1188882,5428.38149791,-78.7083333333,52.625,2
Mqua,-79.183333,69.1, , ,872752,2961.00382406,-79.2083333333,69.125,2
Mqua,-124.633333,70.15, , ,848636,2806.9505345,-124.625,70.125,2
Mqua,-139.35,69.55, , ,863361,1347.45740383,-139.375,69.5416666667,2
Mqua,-72.416667,67.533333, , ,900405,2005.63601793,-72.4583333333,67.5416666667,2
Mqua,-118.166667,71.583333, , ,802734,4875.5789696,-118.208333333,71.625,2
Mqua,-79.25,52.0, , ,1200920,5447.4767694,-79.2916666667,52.0416666667,2
Mqua,-125.416667,69.383333, , ,867258,1883.6762801,-125.458333333,69.375,2
Mqua,-83.666667,65.783333, , ,923014,2121.87117683,-83.7083333333,65.7916666667,2
Mqua,-90.7,63.416667, , ,955005,4663.07446945,-90.7083333333,63.4583333333,2
Mqua,-76.65,56.2, , ,1107116,1807.86613303,-76.625,56.2083333333,2
Mqua,19.13073,59.36872, , ,1030379,771.733272899,19.125,59.375,2
Mqua,-80.305354,52.962095, , ,1181973,1010.55741209,-80.2916666667,52.9583333333,2
Mqua,-80.547827,51.639587, , ,1209502,1678.06919051,-80.5416666667,51.625,2
Mqua,20.87917,63.6775, , ,952178,3443.25554306,20.875,63.7083333333,2
Mqua,21.082301,64.153573, , ,946051,3749.69935969,21.0416666667,64.125,2
Mqua,-164.966995,63.549999, , ,953658,1023.80780212,-164.958333333,63.5416666667,2
Mqua,-166.783997,63.25, , ,957526,4660.34766842,-166.791666667,63.2916666667,2
Mqua,-177.583328,64.660004, , ,938025,4381.329939,-177.541666667,64.625,2
Mqua,-155.600006,70.93, , ,823821,3289.9373522,-155.625,70.9583333333,2
Mqua,-165.335007,63.130001, , ,960112,2093.29890013,-165.375,63.125,2
Mqua,-165.416672,64.5, , ,940413,5058.87141085,-165.458333333,64.4583333333,2
Mqua,177.583328,64.660004, , ,939089,4381.329939,177.541666667,64.625,2
Mqua,-160.333328,70.610001, , ,833864,2276.73251775,-160.291666667,70.625,2
Mqua,170.0,69.0, , ,875612,4937.29011315,170.041666667,69.0416666667,2
Mqua,-164.350006,67.660004, , ,899102,4045.73367774,-164.375,67.625,2
Mqua,-173.350006,64.360001, , ,941457,2062.19950601,-173.375,64.375,2
Mqua,-176.300003,70.93, , ,823580,3175.82848643,-176.291666667,70.9583333333,2
Mqua,177.5,64.75, , ,936867,5050.71833123,177.541666667,64.7916666667,2
Mqua,-167.602005,63.23, , ,958793,2677.69316584,-167.625,63.2083333333,2
Mqua,178.633331,64.449997, , ,941362,1012.19923366,178.625,64.4583333333,2
Mqua,-164.75,64.480003, , ,940421,3139.19461433,-164.791666667,64.4583333333,2
Mqua,-173.233337,64.410004, , ,941459,4084.55186084,-173.208333333,64.375,2
Mqua,18.656212,59.547625, , ,1026511,1886.16738169,18.625,59.5416666667,2
Mqua,17.359682,62.486473, , ,971641,3234.26819681,17.375,62.4583333333,2
Mqua,-92.483333,57.2, , ,1082645,1773.19563941,-92.4583333333,57.2083333333,2
Mqua,-166.7838889,66.2525, , ,916657,4381.48180254,-166.791666667,66.2916666667,2
Mqua,-167.1317,59.3617, , ,1029016,1529.83320818,-167.125,59.375,2
Mqua,22.816667,59.9, , ,1018964,3117.20635858,22.7916666667,59.875,2
Mqua,-78.0,74.2, , ,707239,1571.35366754,-77.9583333333,74.2083333333,2
Mqua,22.666667,59.75, , ,1020855,5198.92189201,22.7083333333,59.7916666667,2
Mqua,18.87310028,59.42079926, , ,1028447,4182.78664784,18.875,59.4583333333,2
Mqua,21.29999924,64.36669922, , ,942443,1009.06669626,21.2916666667,64.375,2
Mqua,-152.83,71.32, , ,813274,3446.19900009,-152.791666667,71.2916666667,2
Mqua,-169.5688889,64.7188889, , ,936988,1752.0274735,-169.541666667,64.7083333333,2
Mqua,-88.8242,56.8388, , ,1090832,4493.22775292,-88.7916666667,56.875,2
Mqua,-65.876,61.248, , ,991623,4420.49807452,-65.875,61.2083333333,2
Mqua,-163.85105,63.66763, , ,951168,4689.48319316,-163.875,63.7083333333,2
Mqua,-22.58329964,70.44999695, , ,839797,1812.06886503,-22.5416666667,70.4583333333,2
Mqua,-60.697,57.694, , ,1070526,1733.4721824,-60.7083333333,57.7083333333,2
Mqua,-79.083333,53.666667, , ,1166206,5392.88713482,-79.0416666667,53.7083333333,2
Mqua,-79.48054722,54.29236667,DFO Arctic database, ,1153159,1448.57592565,-79.4583333333,54.2916666667,2
Mqua,-79.06972222,54.02472222,DFO Arctic database, ,1158835,2633.70291114,-79.0416666667,54.0416666667,2
Mqua,-79.18944444,51.55666667,DFO Arctic database, ,1211278,2121.76878584,-79.2083333333,51.5416666667,2
Mqua,-78.95660833,51.44702778,DFO Arctic database, ,1213051,1263.52375516,-78.9583333333,51.4583333333,2
Mqua,-79.57111111,51.89527778,DFO Arctic database, ,1204330,3033.25963188,-79.5416666667,51.875,2
Mqua,-79.28694444,51.73861111,DFO Arctic database, ,1207766,3384.5354107,-79.2916666667,51.7083333333,2
Mqua,-79.43666667,51.67694444,DFO Arctic database, ,1207764,3800.16687567,-79.4583333333,51.7083333333,2
Mqua,-78.9,51.95,DFO Arctic database, ,1202635,1952.86436733,-78.875,51.9583333333,2
Mqua,-79.19166667,54.15833333,DFO Arctic database, ,1156965,3866.83030492,-79.2083333333,54.125,2
Mqua,-136.45,72.0,DFO Arctic database, ,788647,4658.2995085,-136.458333333,72.0416666667,2
Mqua,17.33343,61.16153, , ,993994,4645.78697605,17.375,61.125,1
Mqua,19.80467,63.53633, , ,954736,878.721064029,19.7916666667,63.5416666667,1
Mqua,17.764373,62.505449, , ,970313,4274.30939609,17.7916666667,62.5416666667,1
Mqua,-93.859,58.757, , ,1043276,3970.94736346,-93.875,58.7916666667,1
Mqua,-94.214,58.805, , ,1043272,1520.9215798,-94.2083333333,58.7916666667,1
Mqua,-119.583333,74.2, , ,706749,1571.34550088,-119.541666667,74.2083333333,1
Mqua,-138.766667,69.621667, , ,861408,1040.55774504,-138.791666667,69.625,1
Mqua,-114.9799,69.2749, , ,869109,2055.18765491,-114.958333333,69.2916666667,1
Mqua,-105.116667,69.116667, , ,872579,986.918736278,-105.125,69.125,1
Mqua,-77.783333,55.4, , ,1127491,2832.93439071,-77.7916666667,55.375,1
Mqua,-137.95,69.11, , ,872464,1705.80856039,-137.958333333,69.125,1
Mqua,-92.412222,57.13245, , ,1084700,2402.07048011,-92.375,57.125,1
Mqua,-76.55,56.916667, , ,1088954,4667.55939695,-76.5416666667,56.9583333333,1
Mqua,-78.102778,58.441667, , ,1051683,2264.89487411,-78.125,58.4583333333,1
Mqua,-122.1972,69.8038, , ,857426,1420.02315548,-122.208333333,69.7916666667,1
Mqua,-94.219167,58.986667, , ,1039189,3217.14963249,-94.2083333333,58.9583333333,1
